product_name,product_url,product_price,category_name,available_sizes,sense_of_the_size,image_url,title_of_description,general_description,general_description_itemization,kws,reviews
サンバ Decon / Samba Decon,https://shop.adidas.jp/products/IG6172/,"19,800",オリジナルス,"22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm",,"/photo/IG/IG6172/s-IG6172-standard-side_lateral_center_view-0lGERI7zuV.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",サンバ Decon / Samba Decon,カジュアルスタイルのアイコンをリメイク。このアディダスシューズは、伝説的なサンバをどこまでもシンプルにしたデザイン。かつての補強レイヤーは過去に置き去りにして、今、とびきりしなやかな履き心地に進化を遂げた。上質なレザーアッパーを使用した、この薄型の軽やかなスニーカーを履けば、毎日のアドベンチャーも楽しくなる。屈曲性を追求したデコンストラクトデザインに、スリーストライプスやラバーアウトソールなどのお馴染みのディテールも健在。,"レギュラーフィット,シューレースクロージャー,レザーアッパー,レザーライニング,ラバーアウトソール","シューズ・靴,スニーカー,オリジナルス,サンバ,Tトゥシューズ,ローカット,NIP68",
Fear of God Athletics I バスケットボール / Fear of God Athletics I Basketball,https://shop.adidas.jp/products/IE6180/,"38,500",スポーツウェア,,,"/photo/IE/IE6180/s-IE6180-marketing-heromrktng_view_1-8Ncs7widGz.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",Fear of God Athletics I バスケットボール / Fear of God Athletics I Basketball,ファッションとスポーツのユニークな融合から生まれたバスケットボールシューズが登場。すっきりした薄底シューズの半透明のラバーアウトソールに刻まれた溝に、Fear of Godらしいスタイルが見てとれる。上質なニットアッパーにネオプレンの履き口、トグル付きのアンクルバンジーコード、縫い目のないTPUフィルムオーバーレイ、Lightstrikeミッドソールなど、快適な履き心地を提供するテクノロジーとディテールが詰まったシューズ。アディダスのプレデタースパイクのアーカイブからヒントを得たスリーストライプス成型ケージ、そしてそれぞれエンボス加工であしらったつま先のadidasロゴと、ヒールのブラックバーとFear of Godロゴなどのアイコニックなブランディングが、このコラボレーションの証。,"レギュラーフィット,シューレースクロージャー,レギュラーフィット,シューレースクロージャー,ポリエステル92% / ポリウレタン8%（ダブルニット）,トグル付きアンクルバンジー,サイドシームポケットに、通気孔のある4ウェイストレッチ生地の裏地付き,Lightstrikeクッショニング,フロント中央にスエード調スリーピラーロゴ,つま先にadidasロゴをエンボス加工","シューズ・靴,スニーカー,スポーツウェア,バスケットボール,Fear of God Athletics,ミドルカット,バスケットボールシューズ・靴,NIW56",
ウルトラブースト 1.0 / Ultraboost 1.0,https://shop.adidas.jp/products/ID1747/,"28,600",スポーツウェア,"24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,30.0cm",,"/photo/ID/ID1747/s-ID1747-standard-side_lateral_center_view-RMsfMCw68a.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",ウルトラブースト 1.0 / Ultraboost 1.0,比類なきパフォーマンスを発揮するデイリースニーカーを求めているなら、もう探す必要はない。シューレースの代わりにメタルバックルを備えたこのウルトラブーストシューズは、洗練されたモダンなデザインに、実用性も兼ね備えている。adidas PRIMEKNITアッパーが足にぴったりフィットし、バネのような反発力のあるBOOSTクッショニングが、快適な履き心地とサポート力をもたらす。 ,"レギュラーフィット,シューレースクロージャー,adidas PRIMEKNIT アッパー,BOOSTミッドソール,テキスタイルライニング,ラバーアウトソール,アッパーには、リサイクル素材を50％以上使用","シューズ・靴,スニーカー,スポーツウェア,ランニング,ウルトラブースト,ローカット,ブースト,プライムニット,デイリーランニング用,リサイクル素材一部使用,ランニングシューズ・靴,LZZ54",
サンバ OG / SAMBA OG,https://shop.adidas.jp/products/B75807/,"15,400",オリジナルス,,,"/photo/B7/B75807/s-B75807-standard-side_lateral_center_view.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",サンバ OG / SAMBA OG,フットボールのピッチからストリートへ。オリジナルのシルエットを忠実に受け継いだ、薄くソフトなレザーアッパー、スエードオーバレイ、そしてラバーソールという品のあるルックは、幅広い世代に愛されている。,"レギュラーフィット,シューレースクロージャー,フルグレインレザーアッパーにざらっとした質感のスエードオーバーレイ / ゴールドフォイルのディテール,合成レザーライニング / ガムラバーカップソール,ガムラバーミッドソール","シューズ・靴,スニーカー,オリジナルス,サンバ,Tトゥシューズ,MINI ME（ミニミー）,ローカット,FA0239","[{'identifier': '160837506', 'review_body': '同サイズガゼルを持っているが、サンバの方が作りが小さく感じました。若干窮屈に感じるため通常より0.5センチアップでも良いかもと思いました。', 'date_published': '2023-10-30', 'rating_value': '5'}, {'identifier': '163101077', 'review_body': '昔から履いていてソールが駄目になったら買い替えしてるのですが、最近は買おうと思ったタイミングでOGが簡単に手に入らなくなってるので見つけたら買う様にしています！', 'date_published': '2024-01-25', 'rating_value': '5'}, {'identifier': '162625482', 'review_body': '初めてのサンバです。白いスニーカーがほしくて店舗で購入。試着したところ、スタンスミスと同じ24.0cmで大丈夫でした。素材が柔らかいので細身だけど気になりません。ただ、長時間歩くとかかと（アキレス腱）が擦れてしまって…中敷きなど入れて対応してます。でも、かわいいのでたくさん履いてかわいがってあげようとおもいます！', 'date_published': '2024-01-07', 'rating_value': '4'}, {'identifier': '162331879', 'review_body': '他のサンバを購入したので、その時と同じサイズにしたのですが、こちらは1cmほど小さいサイズがちょうど良かったです。', 'date_published': '2023-12-27', 'rating_value': '4'}, {'identifier': '163340033', 'review_body': '白黒両方買いました。 見た目・履き心地ともに素晴らしいです。 柔らかくすぐ馴染みます。 経年変化によって表情が変わるのも非常に楽しみです。', 'date_published': '2024-02-05', 'rating_value': '5'}, {'identifier': '163143281', 'review_body': 'ちょっとアンティークチックな色合いがとても可愛いです。 似たような色合いのスペツィアル(IE3698)を買いそびれて探してたところこの色合いを見つけて迷わず購入しました。 サイズは大人気の白黒サンバと同じでハーフサイズアップでちょうど良かったです。 サンバはこれで3足目です。 シューレースが2本ついていて紐を白の方にすればシンプルな感じで使えます。 たくさん履きます。', 'date_published': '2024-01-27', 'rating_value': '5'}, {'identifier': '162410858', 'review_body': 'サイズもバッチリで履き心地も最高です!そして何より最高なのが、ブラウンと黄色の組み合わせです。どちらも品があってかわいいです！みんなにおすすめしたい一品です！', 'date_published': '2023-12-29', 'rating_value': '5'}, {'identifier': '156937076', 'review_body': 'SAMABA３足持っていますが、それぞれサイズ感が違うので注意が必要です。 こちらのSAMBA OGがノーマルな大きさだとしたら、シューたんがオリジナルではなくパフォーマンスのロゴのSAMBA LEATHERはながさ、ワイズ、高さ共に大きく、SAMBA Veganは一番小さいです。 その他シューたんが長いSAMBA Classicもあります。 毎年様々なSAMBAが出ますが、このOGが最もノーマルなSAMBAです。', 'date_published': '2023-05-17', 'rating_value': '5'}, {'identifier': '162663666', 'review_body': '黒か白の黒ストライプか？で悩んでた時に、赤を発見！定番か冒険か？が買った日が誕生日だったので、思い切って赤にしてみました。 足元最強。', 'date_published': '2024-01-08', 'rating_value': '5'}, {'identifier': '106389435', 'review_body': '何度もお世話になっている一足です。 クラシックなこのデザインが、とても魅力的かと思います。 履いた時は、若干幅が狭いと思いますが、履いてるうちに革が、自分の足に馴染んでくれます。 全体なシルエットもよく、足を包み込むような履き心地なのでオススメです。', 'date_published': '2018-11-13', 'rating_value': '5'}]"
スタンスミス / Stan Smith,https://shop.adidas.jp/products/FX5499/,"10,890",オリジナルス,"22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm,30.5cm,31.0cm,31.5cm,32.0cm","小さめ,適切,大きめ","/photo/FX/FX5499/s-FX5499-standard-side_lateral_center_view.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",スタンスミス / Stan Smith,タイムレスでエフォートレスなスタイルだから、どんなコーデも自由自在。スタンスミスは約50年にわたり、ブランドのアイコンとして大きな存在感を放ってきた。このシューズが、2024年までに使用するポリエステルを再生材料のみにするというアディダスの取り組みに合わせてリニューアル。ヴィーガンアッパーに、廃棄ゴムから作られたアウトソールを合わせ、アイコニックなデザインはそのままに、地球環境に配慮したモデルに一新された。,"レギュラーフィット,シューレースクロージャー,合成ライニング,ラバーアウトソール,ヴィ―ガン素材,ランニングチェンジにより、インソール部分の仕様が異なる場合がございます","シューズ・靴,スニーカー,オリジナルス,スタンスミス,スタンスミス PRIMEGREEN,MINI ME（ミニミー）,MADE ORIGINALS,ローカット,リサイクル素材一部使用,ヴィーガン,LDJ01","[{'identifier': '155311343', 'review_body': 'リサイクル素材ですので購入しましたが、質感は革にはかないません。１年でソール（かかと）に穴が空きました。本革のスタンスミスは５年以上はいてますが、問題ありません。', 'date_published': '2023-03-17', 'rating_value': '2'}, {'identifier': '159370442', 'review_body': 'シュータンとソール部分が変な臭いがします。接着剤？原因を調べる必要があります。私以外に気づいた方はいませんか？', 'date_published': '2023-08-25', 'rating_value': '1'}, {'identifier': '162966336', 'review_body': '友人のクリスマスプレゼントに購入しました。ワンサイズ上をと、書いてあったのでその通りに購入しましたが、ジャストフィットで快適なようです。定番の緑色にしましたが、見栄えも良かったです。', 'date_published': '2024-01-20', 'rating_value': '5'}, {'identifier': '135488621', 'review_body': '本革から合皮に変わって履き心地が落ちたと感じる。全体に硬く柔軟性がないからキツく感じる。またその影響なのか靴ひもが短くなったように感じるようになった。今後買うことは無くなると思った。', 'date_published': '2021-07-07', 'rating_value': '1'}, {'identifier': '134200820', 'review_body': '今履いているSSがダメになりそうなので購入しました。前に買ったものより素材の質感が落ちた気がしますがたくさん種類があるので同じ品番かもよくわかりません。', 'date_published': '2021-05-29', 'rating_value': '4'}, {'identifier': '132207676', 'review_body': '通勤用に購入。スラックスに合わせて履いていくのに見た目の違和感はない。歩いていて足裏の感覚がよく快適。耐久性はまだわからないが、よければこれからもレギュラー靴として履き続けたい。', 'date_published': '2021-03-28', 'rating_value': '5'}, {'identifier': '163831849', 'review_body': 'やはり天然皮革のスタンスミスに比べれば履き心地や質感は劣りますが、履いていく内に馴染んでいくでしょうし、デザインもいつものスタンスミスなので、モノ自体は良いかと。ただ、目立たないけれどもキズが付いていたので品質管理の面では残念でした。', 'date_published': '2024-02-27', 'rating_value': '3'}, {'identifier': '135798671', 'review_body': '初サステナブル。少し硬い気がします。 そのうち馴染んでくるのか、耐久性はまだわかりませんが、クッションは良く、雨でも気にせず履けるのはいいです。', 'date_published': '2021-07-17', 'rating_value': '4'}, {'identifier': '143225671', 'review_body': '以前からスタンスミスを履いていて、今回も購入しました。この靴は遊び心がある商品に思えたので、思い切って購入しました。履き心地は合成皮革なので、天然皮革より固めです。', 'date_published': '2022-03-11', 'rating_value': '4'}, {'identifier': '152605889', 'review_body': 'もっと全体的に硬いかと思いましたが、ソール等思った以上に柔らかかったです。思った以上に履きやすいです。それにソールも含め全体が黒というのはいいです。職場でも気軽に履けます。', 'date_published': '2022-12-20', 'rating_value': '4'}]"
スーパースター / Superstar,https://shop.adidas.jp/products/EG4959/,"10,890",オリジナルス,"22.0cm,22.5cm,23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm,30.5cm,31.0cm,31.5cm,32.0cm,32.5cm,33.5cm,34.5cm","小さめ,適切,大きめ","/photo/EG/EG4959/s-EG4959-standard-side_lateral_center_view.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",スーパースター / Superstar,バスケットボールシューズとして誕生し、スケートボーディングやヒップホップシーンで人気を集めたスーパースター。バスケットコートを飛び出し、ゲームチェンジャーとなった一足。,"シューレースクロージャー,レザーアッパー,アイコニックなレザーシューズ,ラバーアウトソール","シューズ・靴,スニーカー,オリジナルス,スーパースター,スリー ストライプス,MINI ME（ミニミー）,MADE ORIGINALS,ローカット,GVS47","[{'identifier': '160529783', 'review_body': '色々なレビューでタイトすぎるから「ワンサイズ大きめを買った方がいい」という言葉を見るが、丁度のサイズを履いてみたら全く気にならなかったので、ワンサイズ大きくする必要はないと感じた。', 'date_published': '2023-10-16', 'rating_value': '5'}, {'identifier': '160009233', 'review_body': 'サイズ感に関しては他の方も言っている通り少しタイトだったので次からは0.5upサイズで購入しようと思いました。 履き心地は並ですが、デザインに関しては洗練されており素晴らしいです。', 'date_published': '2023-09-22', 'rating_value': '4'}, {'identifier': '162465989', 'review_body': '履いていてやはり安心感があります。そしてどんなファッションにも合わせやすい。カラーバリーエーションも豊富で、たくさん欲しくなってしまいます。まずは定番の黒で！', 'date_published': '2023-12-31', 'rating_value': '5'}, {'identifier': '144897005', 'review_body': '定番のスーパースターでありますが、天然皮革であり、使いこなせばこなすほどにフィット感が増してくることに、ある種の喜びを感じます。手入れを怠らず永津付きあっていきたいと思います。', 'date_published': '2022-05-03', 'rating_value': '5'}, {'identifier': '162668224', 'review_body': '普段はアシックスのスニーカーやサッカーのトレシューでジュニアサイズの24.5cmを履いていますが、これは大人サイズで24cmを購入。それでも余裕があり成長も考慮すると良いサイズ感だと思います。', 'date_published': '2024-01-08', 'rating_value': '4'}, {'identifier': '145242149', 'review_body': 'ファッションにおけるアディダスの地位を確立した、定番中の定番。どんなスタイルにも合いますので、少し気分が離れてもまた履きたくなる魅力があります。', 'date_published': '2022-05-12', 'rating_value': '5'}, {'identifier': '146106898', 'review_body': '主人用に。私はスタンスミス派ですが彼は幅広、甲高の足なのでスーパースターがしっくりくるそう。 ボロボロになったら新しいのにするのでセール中に購入しときます。', 'date_published': '2022-06-09', 'rating_value': '5'}, {'identifier': '149700165', 'review_body': 'スタンスミスの28.0cm を履いているけどスーパースターがセールで在庫が28.5cmしかなかったので購入。やはり28.0cmにすればよかったかも。 0.5cmを甘く見てしまった。\u3000厚手の靴下で何とか対応しよう。', 'date_published': '2022-09-25', 'rating_value': '4'}, {'identifier': '163184386', 'review_body': '昔よりこれも品質落ちてる。靴の中の吸収材か何かがザクザクしてて踏み心地が悪かった。暫くしたら落ち着きましたが。デザインは最高です。', 'date_published': '2024-01-29', 'rating_value': '4'}, {'identifier': '162605344', 'review_body': 'カチッとして見栄えも良く、娘が履いていたので同じものを私も注文。履き心地も良く品があり、周りからも好評。皆様へもお勧めします。', 'date_published': '2024-01-06', 'rating_value': '5'}]"
サンバ OG / SAMBA OG,https://shop.adidas.jp/products/B75806/,"15,400",オリジナルス,,,"/photo/B7/B75806/s-B75806-standard-side_lateral_center_view.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",サンバ OG / SAMBA OG,フットボールのピッチからストリートへ。オリジナルのシルエットを忠実に受け継いだ、薄くソフトなレザーアッパー、スエードオーバレイ、そしてラバーソールという品のあるルックは、幅広い世代に愛されている。,"レギュラーフィット,シューレースクロージャー,フルグレインレザーアッパーにざらっとした質感のスエードオーバーレイ / ゴールドフォイルのディテール,合成レザーライニング / ガムラバーカップソール,ガムラバーミッドソール","シューズ・靴,スニーカー,オリジナルス,サンバ,Tトゥシューズ,MINI ME（ミニミー）,ローカット,FA0239","[{'identifier': '160837506', 'review_body': '同サイズガゼルを持っているが、サンバの方が作りが小さく感じました。若干窮屈に感じるため通常より0.5センチアップでも良いかもと思いました。', 'date_published': '2023-10-30', 'rating_value': '5'}, {'identifier': '163101077', 'review_body': '昔から履いていてソールが駄目になったら買い替えしてるのですが、最近は買おうと思ったタイミングでOGが簡単に手に入らなくなってるので見つけたら買う様にしています！', 'date_published': '2024-01-25', 'rating_value': '5'}, {'identifier': '162625482', 'review_body': '初めてのサンバです。白いスニーカーがほしくて店舗で購入。試着したところ、スタンスミスと同じ24.0cmで大丈夫でした。素材が柔らかいので細身だけど気になりません。ただ、長時間歩くとかかと（アキレス腱）が擦れてしまって…中敷きなど入れて対応してます。でも、かわいいのでたくさん履いてかわいがってあげようとおもいます！', 'date_published': '2024-01-07', 'rating_value': '4'}, {'identifier': '162331879', 'review_body': '他のサンバを購入したので、その時と同じサイズにしたのですが、こちらは1cmほど小さいサイズがちょうど良かったです。', 'date_published': '2023-12-27', 'rating_value': '4'}, {'identifier': '163340033', 'review_body': '白黒両方買いました。 見た目・履き心地ともに素晴らしいです。 柔らかくすぐ馴染みます。 経年変化によって表情が変わるのも非常に楽しみです。', 'date_published': '2024-02-05', 'rating_value': '5'}, {'identifier': '163143281', 'review_body': 'ちょっとアンティークチックな色合いがとても可愛いです。 似たような色合いのスペツィアル(IE3698)を買いそびれて探してたところこの色合いを見つけて迷わず購入しました。 サイズは大人気の白黒サンバと同じでハーフサイズアップでちょうど良かったです。 サンバはこれで3足目です。 シューレースが2本ついていて紐を白の方にすればシンプルな感じで使えます。 たくさん履きます。', 'date_published': '2024-01-27', 'rating_value': '5'}, {'identifier': '162410858', 'review_body': 'サイズもバッチリで履き心地も最高です!そして何より最高なのが、ブラウンと黄色の組み合わせです。どちらも品があってかわいいです！みんなにおすすめしたい一品です！', 'date_published': '2023-12-29', 'rating_value': '5'}, {'identifier': '156937076', 'review_body': 'SAMABA３足持っていますが、それぞれサイズ感が違うので注意が必要です。 こちらのSAMBA OGがノーマルな大きさだとしたら、シューたんがオリジナルではなくパフォーマンスのロゴのSAMBA LEATHERはながさ、ワイズ、高さ共に大きく、SAMBA Veganは一番小さいです。 その他シューたんが長いSAMBA Classicもあります。 毎年様々なSAMBAが出ますが、このOGが最もノーマルなSAMBAです。', 'date_published': '2023-05-17', 'rating_value': '5'}, {'identifier': '162663666', 'review_body': '黒か白の黒ストライプか？で悩んでた時に、赤を発見！定番か冒険か？が買った日が誕生日だったので、思い切って赤にしてみました。 足元最強。', 'date_published': '2024-01-08', 'rating_value': '5'}, {'identifier': '106389435', 'review_body': '何度もお世話になっている一足です。 クラシックなこのデザインが、とても魅力的かと思います。 履いた時は、若干幅が狭いと思いますが、履いてるうちに革が、自分の足に馴染んでくれます。 全体なシルエットもよく、足を包み込むような履き心地なのでオススメです。', 'date_published': '2018-11-13', 'rating_value': '5'}]"
スイッチ ムーブ / SWITCH MOVE,https://shop.adidas.jp/products/ID5253/,"6,270",ランニング,"23.0cm,23.5cm,24.0cm,24.5cm,25.0cm,25.5cm,26.0cm,26.5cm,27.0cm,27.5cm,28.0cm,28.5cm,29.0cm,29.5cm,30.0cm,30.5cm,31.0cm",,"/photo/ID/ID5253/s-ID5253-standard-side_lateral_center_view-HHr2Fg6iJH.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",スイッチ ムーブ / SWITCH MOVE,走りが楽であればあるほど、遠くまで行ける。軽量EVAミッドソールが優れたクッション性を発揮する、ランニングシューズ。滑らかな走りを追求した設計が前進する力を高めてくれ、気持ちよく走るのをサポート。快適なメッシュアッパーに、耐久性とグリップ力を高めるアディウェアアウトソールを合わせている。,"レギュラーフィット,シューレースクロージャー,メッシュアッパー,前進力をもたらす滑らかな履き心地,テキスタイルライニング,合成繊維（EVA）のミッドソール,重量：279 g（27 cm片足重量）,ミッドソールドロップ：10 mm（ヒール：34 mm / 前足部：24 mm）,アディウェアアウトソール,アッパーには、リサイクル素材を50％以上使用","シューズ・靴,スポーツシューズ,ランニング,ローカット,アディウェア,リサイクル素材一部使用,ランニングシューズ・靴,MDT54",
Designed for Gameday パンツ,https://shop.adidas.jp/products/HE5038/,"5,393",スポーツウェア,"XS,S,M,L,O (XL),XO (2XL),2XO (3XL),3XO (4XL),4XO (5XL),6XO (7XL)","小さめ,適切,大きめ","/photo/HE/HE5038/s-HE5038-02-v1AR0zptTl.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",Designed for Gameday パンツ,試合までに練習に費やす時間は、ピッチで戦う時間と同じくらい、パフォーマンスを発揮するのに不可欠なもの。だから、このアディダス パンツをはいて、快適さと自信をまとい、全力を出し切る準備をしよう。ソフトなコットン素材が身体をゆったりと暖かく包み込み、スリムフィットのシルエットだから、休息やダウンタイムのストレッチにも適している。バージン素材の生産による環境への悪影響を防ぐため、裁断スクラップや家庭から出る消費財廃棄物などの生産廃棄物から生まれたリサイクル素材を一部使用している。,"スリムフィット,ドローコード付きの伸縮性ウエスト,綿65% / リサイクルポリエステル35%（インターロック）,ミディアムライズのウエスト,テーパードレッグ,スナップボタン付きのポケット,ジップポケット,カフ仕上げの裾,ベター・コットン・イニシアティブをサポート","ウェア・服,ボトムス,パンツ,スポーツウェア,リサイクル素材,ベターコットン,DC481","[{'identifier': '161486297', 'review_body': '182センチ74キロのガッシリ体型ですが、ふくらはぎだけ細くてテーパードのパンツでもサイズ選びが難しいのですが、このジャージは全体的にシャープな所に更にふくらはぎのラインがキレイに見える作りになっていて良いです。', 'date_published': '2023-11-25', 'rating_value': '5'}, {'identifier': '161337398', 'review_body': 'adidasのスウェットパンツが好きで、セールで安く買えました。丈感が絶妙で自分的にはベストヒットです。膝辺りにシミがついてしまったので、またセールの時にリピートしたいと思っています!', 'date_published': '2023-11-19', 'rating_value': '5'}, {'identifier': '160884985', 'review_body': '上下のセットアップで購入しました。 サイズ感はジャストサイズといった感じで、ふくらはぎの辺りにテーパードか効いており 歩く時にダボつかないです。 購入してからお気に入りになっています。', 'date_published': '2023-10-31', 'rating_value': '5'}, {'identifier': '163158613', 'review_body': 'ボトムス全体のサイズ感が疑問。 ウエスト・ワタリに対し丈が短く、毎回サイズに悩みます。 LもLLも丈は同じとかは疑問です。 現行のまま変更しないのであれば代表的なモデルにはトールサイズも用意していただきたい。', 'date_published': '2024-01-28', 'rating_value': '2'}, {'identifier': '159723625', 'review_body': 'こちらは予想したサイズ通りで問題なし。 いつもワンサイズ上を購入しています。 どちらかと言えば厚めの生地ですがさらっと軽くて良い。 色目は若干写真と違いますが許容範囲。 夏以外のスリーシーズン行けるでしょう。', 'date_published': '2023-09-10', 'rating_value': '4'}, {'identifier': '160447948', 'review_body': 'セットアップで購入しました。裾に行くにつれ狭まっていき、全体的にタイトなデザインだと思います。ラフにダボっと着たい人には向かないと思います。', 'date_published': '2023-10-12', 'rating_value': '5'}, {'identifier': '161094441', 'review_body': 'ゴルフの練習で着用しています。動きやすく格好も良いので気に入っています。身長179、体重70、W80程ですが、Lでジャストサイズでした。', 'date_published': '2023-11-09', 'rating_value': '5'}, {'identifier': '161750635', 'review_body': 'フィット感があり、動きやすかったです。 通気性や肌触り感もよくお勧めです。 サイズ感は、175㎝ 68㎏ Ｌサイズで丁度でした。', 'date_published': '2023-12-05', 'rating_value': '4'}, {'identifier': '162223127', 'review_body': '登山で使用したが、とても動きやすくて良かった。 柔らかくて履き心地も良く、もう１着欲しくなった。 出来れば色違いがあると嬉しい。', 'date_published': '2023-12-21', 'rating_value': '4'}, {'identifier': '162784141', 'review_body': 'タイトなシルエットだけど履き心地は最高でした。 裾がリブでないタイプが好きなので、リブでない タイプもあるといいなと思います。', 'date_published': '2024-01-13', 'rating_value': '5'}]"
パンツ,https://shop.adidas.jp/products/IL8904/,"5,742",アディダス テレックス,"XS,S,M,L,XL,2XL,3XL",,"/photo/IL/IL8904/s-IL8904-on_model-standard_view-gg7OLDXcbO.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg,/static/images/tools/itemCard_dummy.jpg",パンツ,アウトドアを楽しみたいときに活躍する、アディダスのパンツ。バリエーションに富んだ風景の中を、快適かつ自信を持って進める軽量設計。岩や起伏のあるルートを進む際に持ち物を安全に収納できる、ジップポケットを複数装備。ウエストにはサイズ調節自在なドローコードが付いていて、かなり先まで丸一日歩き回るトレッキングにも重宝する。,"レギュラーフィット,ウエストを調節できるドローコード付き,ポリエステル88% / ポリウレタン12%（プレーンウィーブ）,ジップ式フロントポケット,背面にジップポケット1つ,立体的に成形した膝まわり,PFC（過フッ素化合物類）不使用撥水仕上げ","ウェア・服,ボトムス,パンツ,アディダス テレックス,アウトドア,防水・撥水,ハイキング/トレッキング/登山,リサイクル素材一部使用,アウトドアウェア・服,HBQ81","[{'identifier': '161498128', 'review_body': 'とても軽くて快適な履き心地が多くの場面で役立ちそうで来春以降に期待感持てます。 サイズはウェストで決めたら良いと思います。少し余裕を持って微調整はコードでするとタイトにも出来るようです。', 'date_published': '2023-11-26', 'rating_value': '4'}, {'identifier': '162819852', 'review_body': '薄い生地で軽くて快適です。 カーキブラウンの色だけ微妙', 'date_published': '2024-01-14', 'rating_value': '4'}]"
